user_id,group,pre_spend,spend,converted
15497,control,18.6,13.45,0
4372,control,41.22,46.23,0
35165,treatment,50.29,27.43,0
8426,control,25.31,22.39,0
32495,treatment,51.23,46.86,0
20290,treatment,33.97,23.15,0
20620,treatment,6.53,22.34,0
32510,treatment,10.2,14.83,0
4575,control,15.83,7.59,0
1153,control,24.95,22.99,0
25504,treatment,13.41,17.1,0
30652,treatment,17.13,0.0,0
24516,treatment,30.1,42.93,0
20719,treatment,52.99,30.1,0
32699,treatment,12.82,0.0,0
32162,treatment,20.41,48.94,0
23250,treatment,18.4,32.74,0
29577,treatment,44.64,30.61,0
39674,treatment,5.75,23.64,0
632,control,38.85,24.45,0
28585,treatment,20.0,15.7,0
177,control,19.51,10.49,0
22496,treatment,13.34,25.03,0
25951,treatment,9.68,13.28,1
28442,treatment,16.09,36.42,1
9392,control,36.99,14.26,0
18881,control,34.5,21.01,0
17178,control,30.65,56.21,0
22910,treatment,20.75,19.02,0
15517,control,13.68,22.81,0
34551,treatment,60.35,28.83,0
13129,control,13.17,7.18,0
5462,control,14.66,17.97,0
15998,control,9.38,0.0,1
3906,control,1.69,0.0,0
13229,control,53.8,52.29,0
11076,control,24.1,13.03,1
30232,treatment,43.0,36.79,0
27935,treatment,22.42,23.24,0
18913,control,27.52,45.28,0
33717,treatment,6.97,5.88,0
19580,control,53.43,56.88,0
23331,treatment,25.77,32.91,0
26629,treatment,14.28,8.83,0
7207,control,69.13,59.14,0
37683,treatment,91.95,60.19,0
18380,control,11.93,3.51,0
3325,control,18.75,41.32,0
10249,control,16.74,15.87,0
28796,treatment,18.64,51.82,0
28910,treatment,14.37,18.6,1
3411,control,17.36,53.04,0
5144,control,48.25,32.89,0
26889,treatment,74.45,65.08,0
36368,treatment,26.24,39.93,0
3976,control,50.29,27.21,0
23471,treatment,27.26,30.7,0
31188,treatment,1.6,11.86,0
21701,treatment,15.76,50.89,0
39893,treatment,26.62,15.75,0
11694,control,40.29,33.42,1
15708,control,13.82,0.0,0
35309,treatment,61.03,37.76,0
23696,treatment,7.26,16.45,0
13379,control,12.43,42.01,0
24202,treatment,75.6,47.78,1
34839,treatment,35.58,42.08,0
20517,treatment,18.18,24.56,0
11307,control,17.35,24.61,0
13378,control,12.41,16.89,0
35772,treatment,30.11,37.03,0
13623,control,71.69,42.22,0
5674,control,14.66,35.29,0
21903,treatment,63.78,46.41,0
21117,treatment,14.61,10.5,0
32298,treatment,6.7,0.0,0
37479,treatment,12.8,1.65,0
11052,control,12.55,8.59,0
7604,control,20.89,34.92,1
15691,control,34.68,54.72,0
37870,treatment,9.53,24.74,0
7406,control,18.78,30.94,0
14451,control,45.96,20.03,0
3277,control,22.65,24.06,0
17057,control,6.07,0.0,1
25555,treatment,16.59,19.89,0
16146,control,29.72,59.09,0
26506,treatment,17.15,25.95,0
32522,treatment,34.57,21.72,1
26108,treatment,0.96,3.55,1
34803,treatment,8.76,11.79,0
19109,control,24.8,40.86,1
6905,control,12.8,0.0,0
421,control,7.09,6.38,0
15432,control,17.37,57.41,0
4210,control,23.74,19.51,0
12938,control,20.27,2.05,0
27809,treatment,1.97,6.35,1
32929,treatment,31.25,28.93,0
15411,control,26.42,3.07,1
397,control,32.78,17.34,0
13638,control,6.98,0.0,0
26031,treatment,36.94,33.95,0
12008,control,44.58,49.22,0
7031,control,0.6,21.95,0
10054,control,13.98,12.81,0
34813,treatment,41.35,33.7,0
24279,treatment,31.08,27.68,0
25607,treatment,10.11,18.54,0
1728,control,9.26,0.0,0
12990,control,35.69,34.69,0
10811,control,32.13,26.1,0
9597,control,29.57,4.48,0
8235,control,10.16,0.0,0
30598,treatment,16.49,0.0,0
22679,treatment,25.08,29.6,0
17373,control,18.06,0.0,0
17695,control,36.17,18.02,1
13652,control,8.46,3.7,1
2511,control,36.58,17.34,0
20690,treatment,29.7,16.95,0
8719,control,11.23,18.33,0
15774,control,50.69,36.68,0
6018,control,20.82,16.77,0
29811,treatment,13.02,1.48,1
12101,control,7.95,15.58,1
34508,treatment,6.42,7.0,0
10266,control,0.42,23.57,0
36005,treatment,26.95,51.22,0
33185,treatment,15.31,22.22,0
18748,control,7.97,12.89,0
13536,control,23.79,19.11,0
9590,control,5.94,0.0,0
22564,treatment,21.22,30.12,0
34742,treatment,101.65,75.31,0
25474,treatment,48.49,36.06,0
29381,treatment,6.67,2.79,0
39114,treatment,14.9,35.32,1
14012,control,39.53,28.63,0
19874,control,9.75,14.48,0
21242,treatment,19.35,2.7,0
8263,control,58.84,32.16,0
21763,treatment,34.7,42.95,0
35638,treatment,10.43,19.86,0
29064,treatment,46.18,19.76,0
24936,treatment,5.03,0.0,0
20062,treatment,42.24,29.65,0
9512,control,30.02,34.53,0
23555,treatment,24.05,8.65,0
15732,control,38.32,26.53,0
17596,control,13.31,5.95,0
15253,control,36.75,44.82,1
31360,treatment,47.65,48.43,0
19713,control,39.21,29.73,0
1210,control,25.29,24.74,0
29029,treatment,15.96,8.05,0
34125,treatment,33.25,35.62,1
25877,treatment,8.12,10.59,0
27609,treatment,24.0,17.35,0
3378,control,30.25,35.23,0
27944,treatment,3.26,4.7,1
27020,treatment,13.08,0.0,0
37879,treatment,16.88,8.6,0
27427,treatment,54.8,53.83,0
23851,treatment,25.87,29.11,0
38687,treatment,12.0,35.16,0
34610,treatment,51.46,55.97,1
4979,control,16.56,24.99,0
36361,treatment,4.12,16.07,0
25120,treatment,25.39,13.48,0
939,control,19.84,20.91,0
7683,control,51.6,50.12,0
25091,treatment,26.39,40.84,0
5875,control,48.87,29.12,0
3143,control,21.96,21.07,0
16535,control,36.88,22.35,0
27380,treatment,16.3,20.17,0
16448,control,18.8,31.57,0
15331,control,5.17,0.0,0
2753,control,27.27,23.33,0
35870,treatment,95.37,101.44,0
22593,treatment,11.53,0.0,0
27623,treatment,36.96,29.08,0
5411,control,7.99,0.0,0
480,control,19.6,39.37,0
35127,treatment,15.28,32.3,0
17185,control,3.91,9.39,0
1123,control,19.61,16.34,0
27620,treatment,61.01,46.17,0
30872,treatment,128.2,94.5,0
3032,control,16.89,7.71,0
13757,control,29.29,18.68,0
5758,control,23.07,28.38,0
35760,treatment,30.18,9.77,0
36705,treatment,8.1,0.0,0
5654,control,10.68,10.57,0
402,control,5.7,9.93,0
30888,treatment,21.77,18.2,0
29256,treatment,44.45,45.25,1
30962,treatment,4.95,29.96,1
2325,control,24.04,12.2,0
36295,treatment,30.67,31.4,0
16286,control,60.08,38.36,0
4008,control,11.78,36.82,0
9318,control,16.51,35.32,1
29773,treatment,63.86,57.8,1
14931,control,59.04,51.05,0
23050,treatment,36.41,40.29,0
14279,control,18.84,21.42,0
25451,treatment,33.92,50.43,1
28014,treatment,22.01,42.97,0
24993,treatment,5.82,0.49,0
21786,treatment,16.27,17.43,0
25338,treatment,22.74,24.92,0
36894,treatment,11.16,28.58,0
34808,treatment,0.67,5.74,0
18225,control,56.84,62.27,0
32456,treatment,36.73,43.89,0
5809,control,33.84,39.44,0
30583,treatment,23.73,24.07,0
3893,control,6.53,1.56,0
2081,control,39.07,22.0,0
24538,treatment,29.57,13.88,0
39988,treatment,17.19,5.1,0
24679,treatment,36.67,35.1,0
7756,control,30.82,3.18,0
39816,treatment,4.44,11.4,0
9329,control,28.27,35.79,0
20417,treatment,22.54,28.08,0
29673,treatment,21.24,6.29,0
18638,control,12.78,0.0,0
36756,treatment,52.86,57.13,0
8574,control,8.24,16.7,0
13135,control,15.61,47.1,1
35496,treatment,14.84,22.03,0
13956,control,19.61,0.0,0
34441,treatment,35.06,28.35,1
22245,treatment,41.15,21.88,0
16666,control,42.63,66.49,1
14014,control,14.67,8.74,0
22464,treatment,15.49,15.17,0
1544,control,24.74,45.44,0
14805,control,35.6,27.64,0
36492,treatment,9.62,36.28,0
7621,control,52.23,36.48,0
19606,control,9.22,32.69,0
12006,control,11.73,0.0,0
39525,treatment,17.92,15.65,0
25547,treatment,17.59,13.18,0
21212,treatment,7.58,9.1,0
14069,control,5.32,3.36,0
13520,control,44.33,59.84,0
26112,treatment,22.82,12.91,0
15824,control,24.41,3.37,0
26909,treatment,8.51,6.54,0
11401,control,23.35,8.96,0
36212,treatment,66.83,57.11,0
29640,treatment,7.6,26.54,0
15500,control,11.19,14.3,1
34618,treatment,9.04,0.0,0
5550,control,35.09,39.0,0
11986,control,17.85,17.48,0
30626,treatment,18.11,5.31,0
34889,treatment,26.84,11.95,0
3842,control,30.02,13.68,1
6833,control,34.75,7.09,0
20202,treatment,6.98,17.01,0
24778,treatment,21.28,23.58,0
9891,control,21.04,2.5,0
28434,treatment,38.83,39.64,1
27367,treatment,19.0,15.52,0
780,control,33.39,19.45,0
2715,control,19.19,17.17,0
8159,control,23.77,27.0,0
3343,control,31.92,18.54,1
173,control,13.71,19.14,0
6654,control,50.33,43.53,0
19089,control,12.45,25.88,0
8813,control,31.98,26.46,0
2334,control,8.25,23.26,0
31898,treatment,10.73,27.37,0
3606,control,10.95,0.0,0
9187,control,65.95,49.0,0
8641,control,38.79,36.85,0
28008,treatment,27.73,43.83,0
10481,control,22.96,20.41,0
31374,treatment,9.66,0.0,0
34167,treatment,14.33,28.88,0
29432,treatment,21.12,4.49,0
29669,treatment,16.82,23.13,0
24414,treatment,20.66,27.36,0
14979,control,30.56,35.42,1
19425,control,10.1,17.01,0
26227,treatment,11.31,16.75,0
35449,treatment,63.02,87.28,0
1666,control,7.66,12.07,0
2617,control,86.45,75.85,0
37014,treatment,16.17,3.18,0
3439,control,29.47,19.9,0
14742,control,12.1,0.0,0
33248,treatment,65.41,66.85,0
7396,control,19.7,34.42,0
4532,control,18.72,31.24,1
15672,control,17.25,41.4,0
32093,treatment,26.94,16.65,0
37674,treatment,20.5,0.0,0
16163,control,13.93,11.06,0
3903,control,10.33,6.1,0
3274,control,19.52,41.81,0
29276,treatment,29.08,19.52,0
20462,treatment,10.15,10.84,0
13657,control,9.63,35.17,0
3798,control,35.12,63.4,1
31633,treatment,64.77,37.19,0
10401,control,30.92,6.04,0
2228,control,26.21,4.84,0
39218,treatment,6.37,22.5,0
34225,treatment,35.04,46.97,0
36623,treatment,10.5,34.27,0
7896,control,2.71,0.0,0
17402,control,6.84,0.0,0
10112,control,41.46,8.43,0
1159,control,30.97,5.43,0
2792,control,29.06,23.91,0
14242,control,62.09,35.43,0
580,control,7.23,6.93,0
11493,control,4.01,0.0,0
23859,treatment,6.55,23.82,0
2398,control,32.68,35.35,0
37686,treatment,17.7,49.89,0
38406,treatment,32.61,28.45,0
1482,control,73.23,61.71,0
15399,control,41.14,48.5,1
35860,treatment,35.88,33.03,0
33235,treatment,34.17,36.53,0
27789,treatment,17.98,23.57,1
23692,treatment,53.8,37.8,0
8856,control,20.59,10.76,0
23481,treatment,14.5,16.47,0
30699,treatment,32.13,41.11,0
13489,control,34.27,41.97,1
18715,control,6.43,0.0,0
32035,treatment,15.44,44.62,0
20393,treatment,9.46,20.92,0
26766,treatment,46.38,23.99,0
4152,control,18.99,19.32,0
31737,treatment,37.67,28.87,0
23298,treatment,70.68,19.23,0
9990,control,44.83,28.12,0
34632,treatment,58.7,72.67,0
20096,treatment,7.54,23.72,0
31005,treatment,27.65,43.14,0
1994,control,14.39,16.29,0
15809,control,44.02,37.03,0
37411,treatment,16.54,10.41,0
12859,control,23.32,38.79,1
18641,control,18.8,8.39,0
8043,control,5.91,0.85,0
34662,treatment,14.22,14.67,0
37845,treatment,26.33,11.84,0
13059,control,30.83,38.7,0
26662,treatment,7.97,0.0,0
35227,treatment,7.27,26.44,0
6469,control,18.18,1.7,0
16513,control,21.18,8.84,0
24044,treatment,14.35,18.7,1
37107,treatment,45.29,39.1,0
15512,control,65.0,62.65,0
18478,control,43.44,60.07,0
24506,treatment,20.79,19.87,0
27500,treatment,25.76,32.4,0
15881,control,37.99,14.4,0
31403,treatment,27.96,15.92,0
8122,control,14.04,17.2,0
8915,control,4.31,0.0,1
37777,treatment,10.52,26.34,0
37793,treatment,17.88,45.57,0
23268,treatment,104.68,82.87,0
20053,treatment,33.29,34.34,1
12813,control,13.72,1.23,0
27849,treatment,10.7,5.9,0
1999,control,29.92,18.47,0
13510,control,13.67,0.0,0
8887,control,7.89,2.4,0
7359,control,9.87,12.3,0
12593,control,18.72,24.97,1
32103,treatment,43.09,20.04,0
22277,treatment,22.95,0.0,0
26724,treatment,14.55,11.81,0
21217,treatment,80.42,82.76,0
21836,treatment,8.76,27.16,0
12316,control,24.04,41.68,0
27979,treatment,63.54,73.74,0
32526,treatment,39.5,43.43,0
22963,treatment,40.79,37.08,0
31889,treatment,10.03,20.83,0
28345,treatment,13.76,17.88,0
13564,control,69.19,54.29,0
27277,treatment,3.32,11.74,0
29313,treatment,56.58,19.96,0
31836,treatment,20.29,50.6,0
11295,control,28.75,37.56,0
14238,control,1.42,0.0,0
19118,control,22.74,50.66,0
19914,control,36.4,83.1,0
34286,treatment,56.35,44.15,1
1557,control,26.49,17.8,0
37917,treatment,16.77,14.51,1
28786,treatment,57.57,36.83,0
23037,treatment,28.67,23.82,0
25463,treatment,17.24,16.91,0
24023,treatment,17.64,6.07,0
6559,control,75.76,70.13,0
35751,treatment,5.58,4.11,0
11280,control,5.48,5.81,0
6124,control,6.75,0.0,0
13149,control,7.29,8.21,0
29700,treatment,30.36,31.45,0
6974,control,32.09,21.43,1
33855,treatment,31.42,31.33,0
3270,control,80.71,61.57,0
3127,control,9.27,14.92,0
12275,control,23.54,18.58,0
27835,treatment,29.76,31.13,0
30567,treatment,58.35,56.95,1
20999,treatment,3.17,12.81,0
19785,control,5.29,27.09,0
39838,treatment,40.2,29.52,0
26686,treatment,37.05,23.55,0
2529,control,24.74,22.56,0
12715,control,30.39,43.2,0
22816,treatment,16.75,48.51,0
39209,treatment,31.61,33.88,0
2874,control,15.01,12.95,0
23938,treatment,21.06,0.0,0
1455,control,26.21,20.8,0
6622,control,15.87,14.99,0
933,control,20.52,25.15,0
10507,control,20.12,0.0,1
15207,control,27.97,26.63,0
28479,treatment,19.04,40.67,0
33129,treatment,39.5,71.05,1
28808,treatment,12.5,0.26,0
10271,control,42.35,49.6,0
12620,control,8.19,17.48,0
18580,control,31.12,28.22,0
10982,control,35.4,31.73,0
11323,control,8.07,7.2,0
27631,treatment,48.94,31.3,0
39464,treatment,12.41,21.77,0
1971,control,43.2,51.91,0
16322,control,7.68,20.77,0
5712,control,19.2,44.1,0
15315,control,7.67,4.85,0
27748,treatment,15.81,7.61,0
30520,treatment,17.01,4.77,0
39939,treatment,23.34,15.32,0
31389,treatment,15.5,21.84,0
25283,treatment,5.8,0.0,0
11174,control,21.88,32.87,0
15698,control,55.06,41.2,0
36801,treatment,25.1,18.16,0
38051,treatment,42.8,62.44,0
12921,control,7.27,12.33,0
8528,control,12.55,6.19,0
32148,treatment,9.01,27.67,1
9361,control,23.35,10.11,0
16300,control,13.14,37.19,0
24198,treatment,18.11,33.75,0
20137,treatment,18.34,0.0,1
22471,treatment,15.25,5.65,0
26008,treatment,31.29,17.75,1
34888,treatment,12.28,13.14,0
22223,treatment,51.23,12.31,0
34061,treatment,43.74,33.02,0
9621,control,7.91,3.49,0
24717,treatment,4.35,8.31,0
29268,treatment,3.78,16.83,0
13501,control,27.7,4.81,1
24073,treatment,1.59,22.34,0
33565,treatment,10.78,9.75,0
7660,control,24.44,36.4,0
34786,treatment,26.13,27.98,0
35095,treatment,3.36,10.4,0
29867,treatment,40.79,45.94,0
15601,control,6.56,5.22,0
817,control,24.04,27.81,0
23496,treatment,4.81,24.59,0
17703,control,28.14,20.19,0
4379,control,45.19,45.07,0
39777,treatment,40.95,25.01,0
27329,treatment,10.17,0.0,0
14493,control,22.6,32.59,1
32369,treatment,51.2,19.77,0
37132,treatment,7.6,22.38,0
6167,control,27.77,46.28,0
4904,control,24.84,29.18,0
23432,treatment,36.71,37.75,0
11380,control,26.21,23.03,0
38470,treatment,6.14,0.0,0
12071,control,18.89,51.73,0
901,control,82.0,81.62,0
163,control,17.73,10.29,0
5735,control,6.27,10.43,0
26921,treatment,18.57,10.2,0
38738,treatment,15.06,10.25,1
36291,treatment,39.12,49.76,1
33786,treatment,20.78,18.5,0
2521,control,9.97,23.32,0
3974,control,22.89,50.8,0
17496,control,33.47,28.95,1
1294,control,28.11,37.22,0
21792,treatment,19.29,19.22,0
5232,control,47.37,41.32,0
21313,treatment,2.32,46.76,0
29613,treatment,13.31,5.08,0
28227,treatment,9.49,0.0,0
1466,control,17.87,35.26,0
23203,treatment,9.98,0.0,0
16492,control,57.27,63.11,0
21113,treatment,11.92,4.71,0
506,control,5.22,0.0,0
34509,treatment,45.97,25.35,0
5682,control,30.99,13.45,0
17346,control,13.23,0.27,0
18021,control,4.07,3.76,0
585,control,2.85,30.33,0
7278,control,7.42,15.17,0
19997,control,11.04,0.0,0
33452,treatment,7.76,18.61,0
3701,control,16.56,15.4,1
33260,treatment,14.48,26.74,0
4824,control,6.35,5.32,0
39954,treatment,22.85,31.3,0
8048,control,34.54,17.76,0
3356,control,48.94,36.0,0
23164,treatment,24.29,30.13,0
7839,control,15.65,16.49,0
20252,treatment,14.45,17.85,0
3678,control,10.03,19.29,0
34426,treatment,45.79,28.6,0
35533,treatment,11.99,18.22,0
7219,control,16.05,1.53,0
8732,control,28.83,42.63,1
23319,treatment,4.05,1.38,0
581,control,1.72,0.0,0
32581,treatment,17.82,43.01,0
3404,control,24.33,18.13,0
12868,control,15.33,23.15,0
10260,control,49.93,39.13,0
1680,control,22.01,49.24,0
17095,control,4.79,26.07,0
14772,control,12.89,19.08,0
6943,control,15.25,14.62,0
4526,control,11.31,10.52,0
34350,treatment,26.74,28.99,0
6256,control,24.65,7.76,0
22315,treatment,16.54,3.48,1
10125,control,8.76,31.95,0
15723,control,9.45,0.0,0
20970,treatment,13.12,17.59,0
28861,treatment,7.96,0.0,0
12621,control,15.0,28.68,0
16916,control,40.71,30.13,0
8541,control,29.78,34.39,0
17776,control,37.59,46.04,1
21009,treatment,53.49,59.76,0
14324,control,14.89,0.0,0
32634,treatment,55.02,58.88,0
33660,treatment,21.1,42.39,0
30012,treatment,8.31,12.22,0
11981,control,18.3,32.53,0
33243,treatment,19.69,45.7,0
31475,treatment,18.0,30.61,0
32490,treatment,8.95,0.88,0
14809,control,8.08,16.5,0
19736,control,18.64,27.54,0
39761,treatment,27.58,5.89,0
2403,control,11.6,0.0,0
30448,treatment,14.49,0.0,0
1975,control,25.92,27.04,0
33135,treatment,7.95,2.77,0
11038,control,57.41,49.09,0
9057,control,3.97,1.94,0
2524,control,14.44,12.27,0
32627,treatment,9.19,24.78,0
31275,treatment,8.96,36.2,0
10618,control,10.95,40.36,0
38071,treatment,20.35,29.46,0
2727,control,38.01,59.42,0
11133,control,36.33,40.0,0
6212,control,55.52,63.82,0
22105,treatment,12.22,36.42,0
961,control,56.12,32.63,0
31091,treatment,17.38,19.79,0
22033,treatment,22.33,29.25,0
11849,control,26.84,25.37,0
19380,control,48.58,57.49,0
26068,treatment,3.77,22.82,0
11949,control,19.55,56.79,0
15930,control,25.34,41.44,1
29714,treatment,35.34,9.03,0
34939,treatment,23.99,19.8,0
30793,treatment,14.82,13.74,0
6934,control,43.38,32.37,0
9172,control,57.23,62.75,0
17112,control,49.85,46.52,0
34812,treatment,8.4,0.0,0
37057,treatment,38.61,50.57,0
1727,control,12.67,41.67,0
30475,treatment,1.7,0.0,0
181,control,34.43,27.42,0
17146,control,57.0,41.69,0
11459,control,25.53,25.62,0
25434,treatment,30.22,14.41,0
17778,control,6.62,12.99,0
8696,control,32.48,30.73,0
24621,treatment,4.99,0.87,0
28234,treatment,8.39,36.5,0
